"year","sic2","citeWeightedPatents","LernerComplement"
1981,33,1.77585601806641,0.931251883506775
1982,33,16.0443935394287,0.966535925865173
1983,33,9.07570934295654,0.955783545970917
1984,33,20.0566844940186,0.943134665489197
1985,33,16.2343616485596,0.958495259284973
1986,33,5.63546276092529,0.960013091564178
1987,33,4.14370536804199,0.959000766277313
1988,33,3.89154934883118,0.948942422866821
1989,33,4.60083103179932,0.914613664150238
1990,33,4.86277103424072,0.928801000118256
1991,33,3.42625951766968,0.947087347507477
1992,33,5.60392475128174,0.939553260803223
1993,33,4.07975482940674,0.935447633266449
1994,33,5.28397798538208,0.937192797660828
1973,34,8.21568298339844,0.892276346683502
1974,34,9.35805797576904,0.912892937660217
1975,34,7.72328042984009,0.926069915294647
1976,34,10.3035144805908,0.922828316688538
1977,34,11.2450113296509,0.929562568664551
