"Class","Adult.weight..g.","Sample.size","Maximum.longevity..yrs.","Specimen.origin"
"Aves",131.7,"small",25.8,"wild"
"Aves",550,"small",23.9,"wild"
"Aves",53,"small",15,"wild"
"Aves",377,"medium",27,"wild"
"Aves",317,"medium",28.5,"wild"
"Aves",315,"medium",20.2,"wild"
"Aves",112,"medium",25.7,"wild"
"Aves",158,"small",15.8,"wild"
"Aves",120,"medium",33,"wild"
"Aves",100,"medium",34,"wild"
"Aves",106,"small",NA,"unknown"
"Aves",31,"medium",23.9,"wild"
"Aves",40,"medium",24.1,"wild"
"Aves",72.15,"medium",17.2,"wild"
"Aves",213,"small",14,"wild"
"Aves",334.5,"large",32.2,"wild"
"Aves",251,"small",20.9,"wild"
"Aves",373,"medium",28.6,"wild"
"Aves",250,"medium",30.8,"unknown"
"Aves",67.8,"medium",2.3,"wild"
"Aves",215.25,"tiny",11.3,"wild"
"Aves",161,"medium",16,"wild"
"Aves",186,"medium",25,"captivity"
"Aves",340,"small",NA,"unknown"
"Aves",304,"medium",27.8,"wild"
"Aves",324.675,"small",NA,"unknown"
"Aves",48,"medium",14.5,"wild"
"Aves",34,"small",12,"wild"
"Aves",136,"medium",22.3,"wild"
"Aves",141,"medium",8.9,"wild"
"Aves",67.7,"medium",8.6,"wild"
"Aves",50,"small",18.6,"wild"
"Aves",52.5,"small",28.8,"wild"
"Aves",135,"small",27.3,"wild"
"Aves",58.1,"medium",19.7,"wild"
"Aves",42,"small",NA,"unknown"
"Aves",57.3,"tiny",11.1,"wild"
"Aves",65.2,"medium",20.8,"wild"
"Aves",26.19,"small",9.2,"wild"
"Aves",85,"small",NA,"unknown"
"Aves",21.1,"medium",14.7,"wild"
"Aves",26,"medium",16,"wild"
"Aves",84,"small",NA,"unknown"
"Aves",27,"medium",19.3,"wild"
"Aves",26.95,"large",21.8,"wild"
"Aves",23,"medium",12.9,"wild"
"Aves",179.167,"large",20.9,"wild"
"Aves",122,"medium",9.2,"wild"
"Aves",131.6,"medium",18.2,"wild"
"Aves",155.567,"small",NA,"unknown"
"Aves",174.5,"small",5.9,"wild"
"Aves",37.1,"medium",11.6,"wild"
"Aves",105,"small",13.3,"wild"
"Aves",130,"medium",13.2,"wild"
"Aves",198.75,"tiny",NA,"unknown"
"Aves",336,"tiny",13.7,"wild"
"Aves",322,"medium",34,"wild"
"Aves",294,"medium",23.6,"wild"
"Aves",50.2,"medium",12.3,"wild"
"Aves",728,"medium",31.8,"wild"
"Aves",824.75,"small",19.1,"wild"
"Aves",172.25,"small",NA,"unknown"
"Aves",365.7,"small",24.2,"wild"
"Aves",408.6,"small",23.8,"wild"
"Aves",33.8,"tiny",12.9,"wild"
"Aves",57,"medium",10,"wild"
"Aves",136,"medium",13.9,"wild"
"Aves",197.5,"large",20.9,"wild"
"Aves",308.3,"medium",15.5,"wild"
"Aves",158,"medium",8.6,"wild"
"Aves",80.65,"tiny",NA,"unknown"
"Aves",62.5,"large",11.7,"wild"
"Aves",187,"medium",24.4,"wild"
"Aves",90,"medium",11.5,"wild"
"Aves",270,"small",12.6,"wild"
"Aves",77.5,"medium",8.5,"wild"
"Aves",149,"medium",26.9,"wild"
"Aves",78.8,"medium",16.9,"wild"
"Aves",1687,"medium",28.8,"wild"
"Aves",298,"medium",14,"wild"
"Aves",1349,"medium",23.5,"wild"
"Aves",445.5,"medium",31.1,"wild"
"Aves",1340,"large",35.9,"wild"
"Aves",1081,"small",NA,"unknown"
"Aves",NA,"small",18,"captivity"
"Aves",1398,"medium",21.6,"captivity"
"Aves",4850.5,"medium",48.1,"captivity"
"Aves",3350,"medium",39,"wild"
"Aves",2061,"medium",32,"captivity"
"Aves",4000,"medium",20.4,"captivity"
"Aves",2926,"medium",31.3,"captivity"
"Aves",4100,"small",34,"captivity"
"Aves",6162.5,"medium",30.2,"captivity"
"Aves",5470,"small",27.4,"captivity"
"Aves",8000,"large",44.7,"captivity"
"Aves",NA,"small",43,"captivity"
"Aves",5710,"medium",31.1,"captivity"
"Aves",2500,"small",27,"captivity"
"Aves",NA,"medium",12.4,"captivity"
"Aves",2166.5,"medium",19.1,"captivity"
"Aves",3180,"medium",28.6,"captivity"
"Aves",51,"large",11.5,"captivity"
"Aves",519,"large",20.5,"captivity"
"Aves",136.983,"small",12,"wild"
"Aves",358.7,"large",35,"captivity"
"Aves",291,"medium",12.6,"wild"
"Aves",490,"medium",17.7,"wild"
"Aves",50,"small",13.3,"captivity"
"Aves",35,"medium",7.2,"wild"
"Aves",457.55,"tiny",14,"wild"
"Aves",31.55,"small",NA,"unknown"
"Aves",128.65,"medium",14,"wild"
"Aves",56.6,"large",18.7,"wild"
"Aves",147.5,"small",8.6,"wild"
"Aves",429,"tiny",16.3,"captivity"
"Aves",236.75,"tiny",NA,"unknown"
"Aves",204.5,"large",17.3,"wild"
"Aves",315,"large",18.5,"wild"
"Aves",247,"medium",14.4,"wild"
"Aves",338.5,"small",5.1,"wild"
"Aves",211.175,"small",NA,"unknown"
"Aves",159,"medium",16.7,"wild"
"Aves",157.4,"medium",17.9,"captivity"
"Aves",NA,"medium",12,"unknown"
"Aves",132,"medium",13.2,"wild"
"Aves",140,"medium",25,"unknown"
"Aves",156,"tiny",NA,"unknown"
"Aves",119,"large",31.3,"wild"
"Aves",31.4,"medium",21,"wild"
"Aves",84.4,"medium",3.9,"wild"
"Aves",34,"medium",5,"wild"
"Aves",305,"large",26.8,"captivity"
"Aves",91.4,"medium",5.5,"wild"
"Aves",40.65,"small",5.7,"wild"
"Aves",49.725,"medium",9,"wild"
"Aves",158,"small",8.9,"captivity"
"Aves",108,"medium",13.7,"captivity"
"Aves",146,"medium",9.2,"wild"
"Aves",148.383,"tiny",NA,"unknown"
"Aves",56.6,"medium",5.9,"wild"
"Aves",34.8,"medium",7,"captivity"
"Aves",29.5,"small",4.6,"wild"
"Aves",75.7,"tiny",10.4,"captivity"
"Aves",133,"medium",20.3,"captivity"
"Aves",5.9,"medium",14,"wild"
"Aves",31.5,"tiny",NA,"unknown"
"Aves",49.85,"small",6,"wild"
"Aves",33.5083,"tiny",3.8,"wild"
"Aves",57.8,"small",5,"wild"
"Aves",37.5,"small",5,"wild"
"Aves",111.5,"medium",12.9,"wild"
"Aves",376,"medium",9,"captivity"
"Aves",81.9,"medium",7.6,"wild"
"Aves",684.1,"tiny",7.3,"wild"
"Aves",210,"medium",15,"captivity"
"Aves",1031,"small",25.8,"captivity"
"Aves",1348,"small",37.6,"captivity"
"Aves",593.5,"small",24,"captivity"
"Aves",172.5,"medium",7,"wild"
"Aves",966,"medium",15.9,"wild"
"Aves",195,"medium",12.7,"wild"
"Aves",390,"medium",11.2,"wild"
"Aves",342.5,"medium",12,"wild"
"Aves",246,"small",NA,"unknown"
"Aves",858,"medium",17.2,"wild"
"Aves",152.5,"medium",10.9,"wild"
"Aves",840,"medium",25,"unknown"
"Aves",169.5,"small",10,"unknown"
"Aves",261,"tiny",NA,"unknown"
"Aves",1406.5,"medium",13.5,"wild"
"Aves",117,"medium",17,"captivity"
"Aves",209.5,"medium",14.9,"wild"
"Aves",692.775,"tiny",11.6,"wild"
"Aves",184,"large",23.8,"wild"
"Aves",152.5,"medium",13.2,"wild"
"Aves",2500,"small",20,"captivity"
"Aves",4133,"medium",24,"captivity"
"Aves",2813,"small",23,"captivity"
"Aves",495.5,"medium",8.8,"wild"
"Aves",2340,"medium",12.5,"unknown"
"Aves",1867.5,"small",5.1,"wild"
"Aves",1564,"medium",23,"captivity"
"Aves",1299,"medium",NA,"unknown"
"Aves",138,"medium",9.6,"unknown"
"Aves",166,"medium",7.4,"wild"
"Aves",194,"medium",6.4,"wild"
"Aves",528,"medium",6.2,"captivity"
"Aves",532,"medium",11,"unknown"
"Aves",1929.5,"medium",7,"unknown"
"Aves",738,"medium",19.6,"captivity"
"Aves",625,"large",13.4,"captivity"
"Aves",45,"medium",5,"unknown"
"Aves",96.5,"medium",14.6,"wild"
"Aves",115,"medium",6,"unknown"
"Aves",100.975,"medium",4.2,"wild"
"Aves",107.5,"tiny",4,"wild"
"Aves",1058.5,"medium",14,"wild"
"Aves",417.3,"medium",13,"wild"
"Aves",453,"medium",7,"wild"
"Aves",334,"medium",8,"wild"
"Aves",779.8,"large",30,"captivity"
"Aves",595.875,"small",9,"wild"
"Aves",326,"small",15,"wild"
"Aves",535.5,"small",11.7,"wild"
"Aves",1079,"medium",12.2,"wild"
"Aves",6050,"medium",13,"wild"
"Aves",4200,"large",23.2,"captivity"
"Aves",492,"medium",5.2,"wild"
"Aves",1094.8,"large",27,"captivity"
"Aves",550,"medium",15,"unknown"
"Aves",1239,"medium",9.2,"unknown"
"Aves",2950,"medium",18,"captivity"
"Aves",429,"medium",7.2,"wild"
"Aves",908,"medium",5,"unknown"
"Aves",794.5,"small",13.5,"wild"
"Aves",908,"medium",7.5,"unknown"
"Aves",5050,"small",NA,"unknown"
"Aves",2724,"medium",28,"wild"
"Aves",3405,"medium",24.1,"wild"
"Aves",1816,"medium",24,"unknown"
"Aves",2400,"large",27,"captivity"
"Aves",3372,"large",27.2,"captivity"
"Aves",7500,"medium",40,"captivity"
"Aves",8663,"medium",41.8,"captivity"
"Aves",3890,"medium",36.6,"wild"
"Aves",5500,"medium",43,"wild"
"Aves",8500,"medium",25.2,"captivity"
"Aves",5931,"medium",36.2,"captivity"
"Aves",3700,"small",24,"captivity"
"Aves",6250.5,"medium",33,"captivity"
"Aves",5400,"medium",45,"captivity"
"Aves",450.8,"large",22.3,"wild"
"Aves",734.3,"medium",20.6,"wild"
"Aves",392,"medium",18.6,"wild"
"Aves",531.5,"medium",13.9,"wild"
"Aves",899.3,"small",13.8,"captivity"
"Aves",208.75,"small",NA,"unknown"
"Aves",496,"large",15.1,"wild"
"Aves",850,"small",8.4,"wild"
"Aves",45.5,"small",NA,"unknown"
"Aves",111.5,"medium",8.9,"wild"
"Aves",308,"medium",7.5,"wild"
"Aves",265,"medium",12.4,"captivity"
"Aves",1555,"medium",NA,"unknown"
"Aves",7895.5,"medium",28.3,"captivity"
"Aves",9.375,"large",13.1,"wild"
"Aves",6.95,"medium",7.7,"wild"
"Aves",7,"small",8.9,"wild"
"Aves",6.85,"small",15,"wild"
"Aves",7.1,"large",23.5,"wild"
"Aves",6.35,"medium",13.8,"wild"
"Aves",7.6,"large",17.6,"wild"
"Aves",7.7,"medium",9.5,"wild"
"Aves",6.35,"medium",7,"wild"
"Aves",12.35,"medium",14.3,"wild"
"Aves",5.4,"medium",6.5,"wild"
"Aves",6.2,"small",5.5,"wild"
"Aves",6.8,"small",4.1,"wild"
"Aves",5.25,"small",8.9,"wild"
"Aves",7.475,"tiny",4,"wild"
"Aves",7.85,"medium",10.6,"wild"
"Aves",20,"small",4,"wild"
"Aves",14.35,"small",7,"wild"
"Aves",31.4,"small",6.5,"wild"
"Aves",12.5,"small",9,"wild"
"Aves",17.4,"medium",15.6,"wild"
"Aves",13.4,"large",17.6,"wild"
"Aves",11.4,"medium",NA,"unknown"
"Aves",5.35,"medium",7.4,"wild"
"Aves",30,"medium",10.1,"wild"
